item_id,item_name,unit_id,unit_name,category,subcategory,serving_size,calories,total_fat,saturated_fat,trans_fat,cholesterol,sodium,total_carb,dietary_fiber,sugars,added_sugars,protein,calcium,iron,potassium,ingredients,allergens,scraped_at
246048162,Bacon Swiss and Arugula Egg Bite,13,Cafe,Breakfast,Egg Bites,2.7 oz Portion (77g),180,15g,7g,NA,220mg,390mg,2g,0g,0g,0g,9g,50mg,0.96mg,120mg,"Large White Eggs, Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Bacon Cooked (Bacon Pork 14-18 Ct Laid Out Applewood), Green Arugula (ARUGULA), Sliced Swiss Cheese .75 oz (PASTEURIZED PART SKIM MILK, CHEESE CULTURES, SALT, ENZYMES.), Jumbo Yellow Onion, Ground Black Pepper (BLACK PEPPER), Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)","Egg, Milk",2025-06-04T14:33:34.756638
246048163,Spinach Feta Roasted Red Pepper Egg Bite,13,Cafe,Breakfast,Egg Bites,2.9 oz Portion (82g),160,14g,7g,NA,205mg,410mg,2g,0g,< 1g,0g,7g,63mg,1.07mg,120mg,"Large White Eggs, Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Baby Spinach Flat Leaves, Cnd Whole Fire Roasted Red Pepper (ROASTED PEPPERS, WATER, SALT, CITRIC ACID), Cheese Feta Loaf Vac Pac (PASTEURIZED MILK, SALT, CHEESE CULTURE, AND ENZYMES. ALLERGENS CONTAINS DAIRY.), Jumbo Yellow Onion, Ground Black Pepper (BLACK PEPPER), Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)","Egg, Milk",2025-06-04T14:33:35.438093
246048164,Bacon Egg and Cheese Croissant,13,Cafe,Breakfast,Croissants,Sandwich (257g),840,58g,25g,NA,520mg,1480mg,33g,1g,6g,5g,44g,84mg,4.08mg,510mg,"Egg Shell Extra-Large Grade Aa White, Croissant (Flour All Purpose Sanford SG, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), 20 oz Distilled Water (WATER), Gallon Whole Milk Vit D (MILK, VITAMIN D3), White Granulated Cane Sugar (GRANULATED SUGAR), Instant Bakers Dried Yeast (YEAST, SORBITAN MONOSTEARATE, ASCORBIC ACID), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)), Bacon Cooked (Bacon Pork 14-18 Ct Laid Out Applewood), Cheese Cheddar Mild SHRED (CHEDDAR CHEESE (PASTEURIZED MILK, CHEESE CULTURE, SALT, ENZYMES, ANNATTO [COLOR]), POTATO STARCH AND POWERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN (A NATURAL MOLD INHIBITOR).)","Egg, Gluten, Milk, Wheat",2025-06-04T14:33:36.095382
246048165,Zaatar Croissant,13,Cafe,Breakfast,Croissants,Croissant (90g),330,18g,9g,NA,60mg,240mg,34g,2g,6g,6g,5g,40mg,8.01mg,95mg,"Croissant (Flour All Purpose Sanford SG, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), 20 oz Distilled Water (WATER), Gallon Whole Milk Vit D (MILK, VITAMIN D3), White Granulated Cane Sugar (GRANULATED SUGAR), Instant Bakers Dried Yeast (YEAST, SORBITAN MONOSTEARATE, ASCORBIC ACID), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)), Zaatar Jordanian Saladalia (OREGANO, SESAME, CHICKPEAS, SALT, MINT, FENNEL, CORIANDER, ANISE, CUMIN, CITRIC ACID), Egg Wash (Egg Shell Extra-Large Grade Aa White), Ground Sumac, White Sesame Seeds","Egg, Gluten, Milk, Sesame, Wheat",2025-06-04T14:33:36.770786
246048166,Greek Scrambler,13,Cafe,Breakfast,Burritos,Burrito (272g),630,35g,14g,NA,425mg,1240mg,50g,2g,2g,0g,30g,118mg,5.13mg,280mg,"Large White Eggs, Tortilla Flour 12"" Pressed Frozen Wrap (BLEACHED ENRICHED WHEAT FLOUR (FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), WATER, SOYBEAN OIL, HYDROGENATED VEGETABLE OIL (CONTAINS ONE OR MORE OF THE FOLLOWING: COTTONSEED OIL, SOYBEAN OIL), MONO- AND DIGLYCERIDES, CONTAINS 2% OR LESS OF THE FOLLOWING: SALT, BAKING POWDER (SODIUM ACID PYROPHOSPHATE, SODIUM BICARBONATE, CORN STARCH, MONOCALCIUM PHOSPHATE), FUMARIC ACID, SODIUM BICARBONATE, DOUGH CONDITIONER (WHEAT FLOUR, CALCIUM SULFATE, SORBIC ACID), PRESERVATIVE (SODIUM PROPIONATE AND POTASSIUM SORBATE).), Cheese Provolone Sliced .5 oz (PASTUERIZED MILK, CHEESE CULTURE, SALT, ENZYMES.), Cheese Feta Crumble 5 lb (FETA CHEESE (CULTURED PASTEURIZED PART-SKIM MILK, SALT, ENZYMES), POTATO STARCH AND POWDERED CELLULOSE ADDED TO PREVENT CAKING, NATAMYCIN ADDED TO MAINTAIN FRESHNESS), Pepper Bell Green Large 22-28, Jumbo Red Onion","Egg, Gluten, Milk, Soy, Wheat",2025-06-04T14:33:37.429335
246048167,Broccoli Quiche,13,Cafe,Breakfast,Quiche,Slice (271g),690,51g,26g,3g,295mg,830mg,37g,4g,3g,0g,18g,48mg,1.14mg,290mg,"Broccoli Florets, Ciliegine Mozzarella Ball (PASTEURIZED MILK, VINEGAR, SALT, ENZYMES. CONTAINS: MILK.), Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Shell Pie 9"" Raw Frozen (ENRICHED FLOUR ( WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PARTIALLY HYDROGENATED VEGETABLE OIL (SOYBEAN AND/OR COTTONSEED OILS), WATER, HIGH FRUCTOSE CORN SYRUP, SALT, SOY FLOUR.  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS MADE WITH PEANUTS, TREE NUTS (WALNUTS, COCONUT), MILK AND SOY.), Egg Shell Extra-Large Grade Aa White, Jumbo Yellow Onion, Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), Spice Pepper Black Ground","Egg, Gluten, Milk, Peanut, Soy, Tree Nut, Wheat",2025-06-04T14:33:38.103404
246048168,Quiche Lorraine,13,Cafe,Breakfast,Quiche,Slice (237g),670,48g,23g,3g,300mg,1040mg,33g,2g,3g,0g,23g,25mg,0.75mg,130mg,"Heavy Whipping Cream (HEAVY CREAM (MILK), MILK, CONTAINS LESS THAN 0.5% OF: CARRAGEENAN, MONO AND DIGLYCERIDES, POLYSORBATE 80), Shell Pie 9"" Raw Frozen (ENRICHED FLOUR ( WHEAT FLOUR, NIACIN, IRON, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID), PARTIALLY HYDROGENATED VEGETABLE OIL (SOYBEAN AND/OR COTTONSEED OILS), WATER, HIGH FRUCTOSE CORN SYRUP, SALT, SOY FLOUR.  PROCESSED IN A FACILITY THAT PROCESSES PRODUCTS MADE WITH PEANUTS, TREE NUTS (WALNUTS, COCONUT), MILK AND SOY.), Ham Bnls D Shaped Smkd Applewood (PORK, WATER, CANE SUGAR, SALT, NATURAL FLAVOR.), Egg Shell Extra-Large Grade Aa White, Ciliegine Mozzarella Ball (PASTEURIZED MILK, VINEGAR, SALT, ENZYMES. CONTAINS: MILK.), Jumbo Yellow Onion, Ground Nutmeg, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), Spice Pepper Black Ground","Egg, Gluten, Milk, Peanut, Soy, Tree Nut, Wheat",2025-06-04T14:33:38.712489
246048169,Brown Sugar,13,Cafe,Breakfast,Snack Boxes and Sides,1.5 oz Portion (43g),160,0g,0g,0g,0mg,0mg,42g,0g,42g,0g,0g,0mg,0mg,0mg,"Sugar Light Brown Gran Cane 25 lb (BROWN SUGAR (SUGAR, CANE SYRUPS))",,2025-06-04T14:33:39.350987
246048170,Granola Parfait,13,Cafe,Breakfast,Snack Boxes and Sides,Parfait (291g),380,3.5g,0.5g,NA,15mg,95mg,67g,4g,39g,0g,24g,221mg,NA,50mg,"Plain Greek Yogurt FF (CULTURED GRADE A NON FAT MILK. CONTAINS ACTIVE YOGURT CULTURES.), Nut Free Granola HM (Oats Rolled Quick 100% OG, Syrup Corn Light Plastic Jug Gal (CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WATER, SALT, NATURAL AND ARTIFICIAL VANILLA FLAVOR), Oil Canola Tff Salad (COTTONSEED OIL), Pancake Syrup (CORN SYRUP, HIGH FRUCTOSE CORN SYRUP, WATER, SUGAR, NATURAL AND ARTIFICIAL FLAVOR, CARAMEL COLOR, SALT, CELLULOSE GUM, POTASSIUM SORBATE AND SODIUM BENZOATE.), Sugar Light Brown Gran Cane 25 lb (BROWN SUGAR (SUGAR, CANE SYRUPS)), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA)), HONEY, SS CUP (HONEY), Banana, Blueberries Frz Monarch (BLUEBERRIES.)",Milk,2025-06-04T14:33:40.007253
246048171,Organic Oatmeal,13,Cafe,Breakfast,Snack Boxes and Sides,2.3 oz Portion (65g),250,4.5g,1g,NA,0mg,0mg,44g,7g,< 1g,0g,9g,NA,NA,NA,Oats Rolled Quick 100% OG,Gluten,2025-06-04T14:33:40.628390
246048172,Raisins,13,Cafe,Breakfast,Snack Boxes and Sides,1.5 oz Portion (43g),130,0g,0g,0g,0mg,5mg,34g,2g,25g,0g,1g,NA,NA,NA,Raisin Seedless Golden (RAISINS),,2025-06-04T14:33:41.247787
246048173,Apple and Brie Crepe,13,Cafe,Breakfast,Crepe,Crepe (374g),930,57g,32g,0g,275mg,1550mg,71g,3g,32g,2g,36g,83mg,2.92mg,190mg,"Crepe Batter (Gallon Whole Milk Vit D (MILK, VITAMIN D3), H&R All Purpose Flour, Large White Eggs, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), White Granulated Cane Sugar (GRANULATED SUGAR), 20 oz Distilled Water (WATER)), Cheese Brie (CULTURED PASTEURIZED MILK AND CREAM, SALT, ENZYMES.), Granny Smith Apple, Lite Amber Honey (HONEY.), Green Arugula (ARUGULA), Oil Olive Truffle White Extra Virgin (XTRA VIRGIN OLIVE OIL, ITALIAN WHITE TRUFFLE AROMA)","Egg, Gluten, Milk, Wheat",2025-06-04T14:33:41.907613
246048174,Chicken Pesto Crepe,13,Cafe,Breakfast,Crepe,Crepe (499g),670,29g,13g,NA,215mg,970mg,55g,4g,8g,7g,44g,121mg,3.84mg,670mg,"Crepe Batter (Gallon Whole Milk Vit D (MILK, VITAMIN D3), H&R All Purpose Flour, Large White Eggs, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), White Granulated Cane Sugar (GRANULATED SUGAR), 20 oz Distilled Water (WATER)), Chicken Breast Roasted (Chicken Breast Double Lobe Random, Lemon Juice Not from Concentrate (LEMONS), Spice Oregano Flake Plastic Jug Shelf St, Ground Coriander, Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), Spice Cumin Ground Monarch 16 oz (GROUND CUMIN SEEDS), Spice Pepper Black Ground, Oil Blend (Oil Canola Tff Salad (COTTONSEED OIL), Oil Olive Truffle White Extra Virgin (XTRA VIRGIN OLIVE OIL, ITALIAN WHITE TRUFFLE AROMA))), Tomato Roma - Ford's (TOMATO), Green Arugula (ARUGULA), Pesto No Nuts (Baby Spinach Flat Leaves (SPINACH), Oil Blend (Oil Canola Tff Salad (COTTONSEED OIL), Oil Olive Truffle White Extra Virgin (XTRA VIRGIN OLIVE OIL, ITALIAN WHITE TRUFFLE AROMA)), Shredded Parmesan (PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURES, SALT, ENZYMES), POWDERED CELLULOSE ADDED TO PREVENT CAKING.), Fresh Basil Herb (FRESH BASIL.), Lemon Juice Not from Concentrate (LEMONS), Garlic Puree (Garlic White Whole Clove Peeled, Oil Blend (Oil Canola Tff Salad (COTTONSEED OIL), Oil Olive Truffle White Extra Virgin (XTRA VIRGIN OLIVE OIL, ITALIAN WHITE TRUFFLE AROMA))), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), Spice Pepper Black Ground), Sauce Balsamic Glaze (Cooked Grape Must, ""Aceto Balsamico Di Modena P.G.I."" (Wine, Vinegar, Concentrated and Cooked Grape Must, Caramel Color, Antioxidant: Sulphur Dioxide), Wine Vinegar, Caramel Color, Modified Corn Starch, Xanthan Gum.), Cheese Mozzarella Log Whole Milk Roseli 16 oz (PASTEURIZED MILK, VINEGAR, ENZYMES, SALT)","Egg, Gluten, Milk, Wheat",2025-06-04T14:33:42.665023
246048176,Chocolate Crepe,13,Cafe,Breakfast,Crepe,Crepe (194g),610,30g,17g,0g,130mg,590mg,77g,1g,38g,36g,12g,80mg,7.34mg,280mg,"Crepe Batter (Gallon Whole Milk Vit D (MILK, VITAMIN D3), H&R All Purpose Flour, Large White Eggs, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), White Granulated Cane Sugar (GRANULATED SUGAR), 20 oz Distilled Water (WATER)), Chocolate Chip Mini Hershey 25 lb (SEMI-SWEET CHOCOLATE (SUGAR; CHOCOLATE; COCOA BUTTER; MILK FAT; LECITHIN (SOY); NATURAL FLAVOR; MILK))","Egg, Gluten, Milk, Soy, Wheat",2025-06-04T14:33:43.372562
246048177,Chocolate Crepe with Strawberries,13,Cafe,Breakfast,Crepe,Crepe (250g),570,26g,15g,0g,130mg,590mg,73g,1g,34g,28g,12g,80mg,6.21mg,240mg,"Crepe Batter (Gallon Whole Milk Vit D (MILK, VITAMIN D3), H&R All Purpose Flour, Large White Eggs, Unsalted Solid Butter (PASTEURIZED CREAM, NATURAL FLAVORINGS), Seasoning Salt Kosher (SALT, YELLOW PRUSSIATE OF SODA), White Granulated Cane Sugar (GRANULATED SUGAR), 20 oz Distilled Water (WATER)), Strawberries, Chocolate Chip Mini Hershey 25 lb (SEMI-SWEET CHOCOLATE (SUGAR; CHOCOLATE; COCOA BUTTER; MILK FAT; LECITHIN (SOY); NATURAL FLAVOR; MILK))","Egg, Gluten, Milk, Soy, Wheat",2025-06-04T14:33:44.020551
